"experience_id","name","skill_level"
"1","HTML","Expert"
"1","CSS","Expert"
"1","TypeScript","Intermediate"
"1","RESTful APIs","Intermediate"
"1","Node.js/Express","Intermediate"
"1","Microsoft SQL","Intermediate"
"1","Docker","Beginner"
"1","MSU Decs Server","Beginner"
"1","GitLab","Intermediate"
"4","C++","Intermediate"
"4","wxWidgets","Intermediate"
"4","wxFormBuilder","Intermediate"
"4","GitLab","Intermediate"
"4","CMake","Intermediate"
"4","Doxygen","Expert"
"4","Google Test","Intermediate"
"4","Visual Paradigm","Intermediate"
"5","Python","Intermediate"
"5","Search Algorithms (eg.A*, Bfs, Dfs, Uniform-cost)","Expert"
"5","Algorithm Optimization","Expert"
"5","Data Structure","Expert"
"5","Matplotlib","Intermediate"
"5","Unit Testing","Intermediate"
"6","Java","Intermediate"
"6","Kotlin","Intermediate"
"6","Mobile Development","Intermediate"
"6","SQLite","Intermediate"
"6","GitLab","Intermediate"
"2","HTML","Expert"
"2","CSS","Expert"
"2","JavaScript","Intermediate"
"2","Firebase","Intermediate"
"2","GitHub","Intermediate"
"3","HTML","Expert"
"3","CSS","Expert"
"3","JavaScript","Intermediate"
"3","Jinja","Beginner"
"3","MySQL","Beginner"
"3","Docker","Beginner"
"3","Google Cloud","Beginner"
